strategy,regime,trades,pnl_eur,win_rate
ema_pullback,BULL_MODERATE,61,1289.5323650132536,0.36065573770491804
ema_pullback,BULL_STRONG,66,-274.55190328955723,0.2878787878787879
ema_pullback,NEUTRAL,150,-307.99505968222763,0.32
minervini_vcp,BULL_MODERATE,31,-450.67658060731674,0.3548387096774194
minervini_vcp,BULL_STRONG,65,2924.7865654130055,0.47692307692307695
minervini_vcp,NEUTRAL,100,-1133.3038962813123,0.27
volume_breakout,BULL_MODERATE,39,-485.1675793369242,0.41025641025641024
volume_breakout,BULL_STRONG,60,1335.664942040449,0.4
volume_breakout,NEUTRAL,87,-178.88946758827728,0.367816091954023
combined,BULL_MODERATE,52,903.1065520168645,0.3269230769230769
combined,BULL_STRONG,67,-411.8465323767348,0.3283582089552239
combined,NEUTRAL,150,-1346.7258011530766,0.31333333333333335
enhanced_ema_pullback,BULL_MODERATE,23,1136.4863890353083,0.43478260869565216
enhanced_ema_pullback,BULL_STRONG,42,1500.179133025074,0.38095238095238093
enhanced_ema_pullback,NEUTRAL,57,-684.1224632240156,0.2631578947368421
institutional_momentum_trend,BULL_MODERATE,21,1761.3745333039014,0.47619047619047616
institutional_momentum_trend,BULL_STRONG,36,2709.3222759272862,0.3611111111111111
institutional_momentum_trend,NEUTRAL,53,-647.2764832371918,0.2830188679245283
