strategy,sector,trades,pnl_eur
ema_pullback,Comm,13,428.0643020345718
ema_pullback,ConsDisc,41,-1091.6966510390964
ema_pullback,Energy,7,-352.06269331853764
ema_pullback,Fin,34,167.80334780831572
ema_pullback,Health,21,517.0398819936063
ema_pullback,Industrial,6,-211.83828834232543
ema_pullback,Materials,4,-168.96202570626235
ema_pullback,RealEstate,2,-40.57254207407277
ema_pullback,Staples,13,-112.2500368041176
ema_pullback,Tech,134,1687.4453290283154
ema_pullback,Utilities,2,-115.9859797189522
minervini_vcp,Comm,12,-75.83169401431928
minervini_vcp,ConsDisc,14,188.7571271254368
minervini_vcp,Energy,5,303.0650856968414
minervini_vcp,Fin,36,-257.1376414064764
minervini_vcp,Health,16,-261.4382861904404
minervini_vcp,Industrial,24,155.7708739988883
minervini_vcp,Materials,3,-110.28118314047947
minervini_vcp,RealEstate,9,-144.71970049742407
minervini_vcp,Staples,9,567.597173524592
minervini_vcp,Tech,62,1167.3171447654943
minervini_vcp,Utilities,7,-232.38654439981963
volume_breakout,Comm,12,520.5820295742321
volume_breakout,ConsDisc,10,-384.89230746878457
volume_breakout,Energy,10,699.6113761218583
volume_breakout,Fin,25,106.3140682640269
volume_breakout,Health,35,-57.00378634259289
volume_breakout,Industrial,12,120.43360757477922
volume_breakout,Materials,3,-165.4520117624545
volume_breakout,RealEstate,8,-286.97710229748805
volume_breakout,Staples,19,17.778306188097645
volume_breakout,Tech,45,254.85587879913038
volume_breakout,Utilities,7,-153.6420460501222
combined,Comm,18,996.977670965121
combined,ConsDisc,35,-957.2484305511568
combined,Energy,3,-194.8667911793833
combined,Fin,35,186.56586990109628
combined,Health,26,325.65721776857436
combined,Industrial,4,-18.352069380525904
combined,Materials,2,-14.810369628892545
combined,RealEstate,2,213.47976318616907
combined,Staples,5,-150.64953175238475
combined,Tech,141,-1532.9928273143296
combined,Utilities,2,-99.14272830800496
enhanced_ema_pullback,Comm,10,-182.6122022343302
enhanced_ema_pullback,ConsDisc,7,49.60968967972292
enhanced_ema_pullback,Energy,9,-236.76967985866713
enhanced_ema_pullback,Fin,18,-61.149297989153865
enhanced_ema_pullback,Health,12,-450.33124568236246
enhanced_ema_pullback,Industrial,23,1058.4315876032065
enhanced_ema_pullback,RealEstate,2,69.10961642276743
enhanced_ema_pullback,Staples,4,-92.3777106217093
enhanced_ema_pullback,Tech,36,1863.147840581092
enhanced_ema_pullback,Utilities,1,-64.51248754683365
institutional_momentum_trend,Comm,12,1353.8882120239286
institutional_momentum_trend,ConsDisc,5,-243.25283102805054
institutional_momentum_trend,Energy,9,667.4682891371705
institutional_momentum_trend,Fin,21,323.17424779746
institutional_momentum_trend,Health,12,-315.78098091481843
institutional_momentum_trend,Industrial,20,477.42826188924334
institutional_momentum_trend,Materials,1,-144.5087770722903
institutional_momentum_trend,RealEstate,2,411.3264954059182
institutional_momentum_trend,Staples,5,-171.5908275463264
institutional_momentum_trend,Tech,38,1592.8521258583228
institutional_momentum_trend,Utilities,1,-27.78836667126052
