ticker,sector,entry_date,exit_date,entry_px,exit_px,shares,pnl_eur,pnl_pct,hold_days,exit_reason,regime_at_entry
SCHW,Fin,2021-08-23,2021-09-14,67.90597400665283,66.36358415295172,51,-102.05769755944584,-0.03443591105698337,22,TRAILING_STOP,BULL_STRONG
URI,Industrial,2021-08-24,2021-09-14,327.5499087123573,317.2556838543469,10,-109.54531287663076,-0.03923684064195528,21,TRAILING_STOP,BULL_STRONG
GS,Fin,2021-08-23,2021-09-15,356.48411361502974,352.58221682936494,9,-61.1555814177982,-0.022273446790408966,23,TRAILING_STOP,BULL_STRONG
CDNS,Tech,2021-09-23,2021-09-27,163.48409877777098,158.04822672042604,12,-65.28973360731743,-0.03884817292844056,4,TRAILING_STOP,NEUTRAL
INTU,Tech,2021-09-23,2021-09-28,546.5633388883787,527.1333345374037,3,-55.039259212536535,-0.03917868547092672,5,TRAILING_STOP,NEUTRAL
GOOGL,Comm,2021-09-24,2021-09-28,140.2899566114616,134.4508767118467,11,-53.985034558550296,-0.041013333516155596,4,TRAILING_STOP,NEUTRAL
PANW,Tech,2021-10-06,2021-10-26,79.44344471952436,80.13507044049716,23,7.087197628291278,0.004491971427077991,20,TRAILING_STOP,NEUTRAL
SLB,Energy,2021-11-01,2021-11-03,30.040086312961574,28.97342313369481,115,-118.65588103954906,-0.03965265996205812,2,TRAILING_STOP,BULL_STRONG
MS,Fin,2021-10-25,2021-11-10,87.35051791331794,84.19966889382243,32,-83.57526342537312,-0.03476464114388187,16,TRAILING_STOP,BULL_STRONG
FITB,Fin,2021-10-29,2021-11-19,36.82913390701823,35.83644345508872,94,-6.849667542055613,-0.002309277833029557,21,TRAILING_STOP,BULL_STRONG
WFC,Fin,2021-11-11,2021-11-19,44.86670111879966,43.4266643613046,76,-72.46007962098065,-0.024382295959980396,8,TRAILING_STOP,BULL_STRONG
TRGP,Energy,2021-11-24,2021-11-26,50.210545650615686,47.12821740643267,55,-149.43723440572376,-0.06078201520450515,2,TRAILING_STOP,BULL_STRONG
KIM,RealEstate,2021-08-24,2021-11-30,17.33400350916403,18.356766445175413,204,297.7009042499394,0.09877307672414977,98,TRAILING_STOP,BULL_STRONG
NFLX,Comm,2021-11-29,2021-11-30,66.71385520245552,64.12376927828218,49,-119.168262198712,-0.04112505554769084,1,TRAILING_STOP,BULL_STRONG
KLAC,Tech,2021-11-30,2021-12-06,39.65420314484596,37.6351237712815,15,-29.98434271585029,-0.056791798652736335,6,TRAILING_STOP,NEUTRAL
