strategy,oos_start,oos_end,trades,pnl_eur,profit_factor,result
ema_pullback,2022-08-11,2023-02-07,0,0.0,,NO_TRADE
ema_pullback,2024-08-10,2025-02-06,32,-191.66901986142585,0.8612236341626095,NEGATIVE
ema_pullback,2026-02-11,2026-08-10,47,-147.02014248909938,0.9330756885225262,NEGATIVE
minervini_vcp,2022-08-11,2023-02-07,0,0.0,,NO_TRADE
minervini_vcp,2024-08-10,2025-02-06,30,244.20699209904012,1.2548923626421509,POSITIVE
minervini_vcp,2026-02-11,2026-08-10,29,-645.5837009929287,0.39122262076868697,NEGATIVE
volume_breakout,2022-08-11,2023-02-07,0,0.0,,NO_TRADE
volume_breakout,2024-08-10,2025-02-06,26,260.26857334743477,1.55475692782534,POSITIVE
volume_breakout,2026-02-11,2026-08-10,22,-96.56284499727559,0.8494625753390327,NEGATIVE
combined,2022-08-11,2023-02-07,0,0.0,,NO_TRADE
combined,2024-08-10,2025-02-06,28,970.2559170524233,2.148163333773908,POSITIVE
combined,2026-02-11,2026-08-10,43,-143.62573259386807,0.9256563062093297,NEGATIVE
enhanced_ema_pullback,2022-08-11,2023-02-07,0,0.0,,NO_TRADE
enhanced_ema_pullback,2024-08-10,2025-02-06,16,395.1028469246355,1.8180322252697672,POSITIVE
enhanced_ema_pullback,2026-02-11,2026-08-10,14,-572.5034752450296,0.03371164516975245,NEGATIVE
institutional_momentum_trend,2022-08-11,2023-02-07,0,0.0,,NO_TRADE
institutional_momentum_trend,2024-08-10,2025-02-06,16,246.5346838403882,1.5035829910280976,POSITIVE
institutional_momentum_trend,2026-02-11,2026-08-10,11,-112.96149253710007,0.634041051355363,NEGATIVE
