strategy,year,trades,pnl_eur
ema_pullback,2021,25,327.78316985699325
ema_pullback,2022,25,-512.9591331477047
ema_pullback,2023,52,-38.40561012138369
ema_pullback,2024,57,1327.1208188826733
ema_pullback,2025,58,-126.10814521423015
ema_pullback,2026,60,-270.4464563949033
minervini_vcp,2021,21,-301.3714083810471
minervini_vcp,2022,14,-158.98801008842923
minervini_vcp,2023,24,1807.3084615696223
minervini_vcp,2024,51,1848.6326402497743
minervini_vcp,2025,49,-1033.2729496656657
minervini_vcp,2026,38,-861.5963782219611
volume_breakout,2021,17,48.22602611797669
volume_breakout,2022,18,612.9097828169163
volume_breakout,2023,31,293.6997997653242
volume_breakout,2024,48,188.98515789185615
volume_breakout,2025,41,-945.1346602843571
volume_breakout,2026,31,472.92190629296624
combined,2021,24,-66.33858637679862
combined,2022,24,-148.05820129077563
combined,2023,49,756.7343512481683
combined,2024,63,-656.8368734852274
combined,2025,62,-1113.4485892280813
combined,2026,51,-17.434327161002216
enhanced_ema_pullback,2021,16,-1074.0510948901215
enhanced_ema_pullback,2022,10,-305.2248567790731
enhanced_ema_pullback,2023,24,820.0984009262596
enhanced_ema_pullback,2024,29,2154.48029472542
enhanced_ema_pullback,2025,26,95.72620909202811
enhanced_ema_pullback,2026,17,261.5171572792186
institutional_momentum_trend,2021,16,-181.17953783596818
institutional_momentum_trend,2022,10,-407.35509649590085
institutional_momentum_trend,2023,22,803.7064178809082
institutional_momentum_trend,2024,34,2752.886609188537
institutional_momentum_trend,2025,25,-29.3578783327452
institutional_momentum_trend,2026,19,984.5153344744666
