strategy,regime,trades,pnl_eur,win_rate
ema_pullback,BULL_MODERATE,31,4853.9701758369865,0.45161290322580644
ema_pullback,BULL_STRONG,42,-1051.1699941069553,0.19047619047619047
ema_pullback,NEUTRAL,120,-2550.4267678544893,0.25
minervini_vcp,BULL_MODERATE,17,-812.018966171096,0.35294117647058826
minervini_vcp,BULL_STRONG,45,3433.420141669399,0.5111111111111111
minervini_vcp,NEUTRAL,76,-624.9447193019039,0.3026315789473684
volume_breakout,BULL_MODERATE,23,-41.71305203881525,0.391304347826087
volume_breakout,BULL_STRONG,32,231.08718519362878,0.34375
volume_breakout,NEUTRAL,70,493.2715917749008,0.38571428571428573
combined,BULL_MODERATE,30,4704.638953648352,0.6
combined,BULL_STRONG,43,-548.7250909120669,0.2558139534883721
combined,NEUTRAL,117,-3463.527752545317,0.23931623931623933
enhanced_ema_pullback,BULL_MODERATE,19,1885.8743258109644,0.5789473684210527
enhanced_ema_pullback,BULL_STRONG,29,3964.7230407279512,0.41379310344827586
enhanced_ema_pullback,NEUTRAL,52,-634.4331485198363,0.2692307692307692
