,0
2016-08-11,30000.0
2016-08-12,30000.0
2016-08-15,30000.0
2016-08-16,30000.0
2016-08-17,30000.0
2016-08-18,30000.0
2016-08-19,30000.0
2016-08-22,30000.0
2016-08-23,30000.0
2016-08-24,30000.0
2016-08-25,30000.0
2016-08-26,30000.0
2016-08-29,30000.0
2016-08-30,30000.0
2016-08-31,30000.0
2016-09-01,30000.0
2016-09-02,30000.0
2016-09-06,30000.0
2016-09-07,30000.0
2016-09-08,30000.0
2016-09-09,30000.0
2016-09-12,30000.0
2016-09-13,30000.0
2016-09-14,30000.0
2016-09-15,30000.0
2016-09-16,30000.0
2016-09-19,30000.0
2016-09-20,30000.0
2016-09-21,30000.0
2016-09-22,30000.0
2016-09-23,30000.0
2016-09-26,30000.0
2016-09-27,30000.0
2016-09-28,30000.0
2016-09-29,30000.0
2016-09-30,30000.0
2016-10-03,30000.0
2016-10-04,30000.0
2016-10-05,30000.0
2016-10-06,30000.0
2016-10-07,30000.0
2016-10-10,30000.0
2016-10-11,30000.0
2016-10-12,30000.0
2016-10-13,30000.0
2016-10-14,30000.0
2016-10-17,30000.0
2016-10-18,30000.0
2016-10-19,30000.0
2016-10-20,30000.0
2016-10-21,30000.0
2016-10-24,30000.0
2016-10-25,30000.0
2016-10-26,30000.0
2016-10-27,30000.0
2016-10-28,30000.0
2016-10-31,30000.0
2016-11-01,30000.0
2016-11-02,30000.0
2016-11-03,30000.0
2016-11-04,30000.0
2016-11-07,30000.0
2016-11-08,30000.0
2016-11-09,30000.0
2016-11-10,30000.0
2016-11-11,30000.0
2016-11-14,30000.0
2016-11-15,30000.0
2016-11-16,30000.0
2016-11-17,30000.0
2016-11-18,30000.0
2016-11-21,30000.0
2016-11-22,30000.0
2016-11-23,30000.0
2016-11-25,30000.0
2016-11-28,30000.0
2016-11-29,30000.0
2016-11-30,30000.0
2016-12-01,30000.0
2016-12-02,30000.0
2016-12-05,30000.0
2016-12-06,30000.0
2016-12-07,30000.0
2016-12-08,30000.0
2016-12-09,30000.0
2016-12-12,30000.0
2016-12-13,30000.0
2016-12-14,30000.0
2016-12-15,30000.0
2016-12-16,30000.0
2016-12-19,30000.0
2016-12-20,30000.0
2016-12-21,30000.0
2016-12-22,30000.0
2016-12-23,30000.0
2016-12-27,30000.0
2016-12-28,30000.0
2016-12-29,30000.0
2016-12-30,30000.0
2017-01-03,30000.0
2017-01-04,30000.0
2017-01-05,30000.0
2017-01-06,30000.0
2017-01-09,30000.0
2017-01-10,30000.0
2017-01-11,30000.0
2017-01-12,30000.0
2017-01-13,30000.0
2017-01-17,30000.0
2017-01-18,30000.0
2017-01-19,30000.0
2017-01-20,30000.0
2017-01-23,30000.0
2017-01-24,30000.0
2017-01-25,30000.0
2017-01-26,30000.0
2017-01-27,30000.0
2017-01-30,30000.0
2017-01-31,30000.0
2017-02-01,30000.0
2017-02-02,30000.0
2017-02-03,30000.0
2017-02-06,30000.0
2017-02-07,30000.0
2017-02-08,30000.0
2017-02-09,30000.0
2017-02-10,30000.0
2017-02-13,30000.0
2017-02-14,30000.0
2017-02-15,30000.0
2017-02-16,30000.0
2017-02-17,30000.0
2017-02-21,30000.0
2017-02-22,30000.0
2017-02-23,30000.0
2017-02-24,30000.0
2017-02-27,30000.0
2017-02-28,30000.0
2017-03-01,30000.0
2017-03-02,30000.0
2017-03-03,30000.0
2017-03-06,30000.0
2017-03-07,30000.0
2017-03-08,30000.0
2017-03-09,30000.0
2017-03-10,30000.0
2017-03-13,30000.0
2017-03-14,30000.0
2017-03-15,30000.0
2017-03-16,30000.0
2017-03-17,30000.0
2017-03-20,30000.0
2017-03-21,30000.0
2017-03-22,30000.0
2017-03-23,30000.0
2017-03-24,30000.0
2017-03-27,30000.0
2017-03-28,30000.0
2017-03-29,30000.0
2017-03-30,30000.0
2017-03-31,30000.0
2017-04-03,30000.0
2017-04-04,30000.0
2017-04-05,30000.0
2017-04-06,30000.0
2017-04-07,30000.0
2017-04-10,30000.0
2017-04-11,30000.0
2017-04-12,30000.0
2017-04-13,30000.0
2017-04-17,30000.0
2017-04-18,30000.0
2017-04-19,30000.0
2017-04-20,30000.0
2017-04-21,30000.0
2017-04-24,30000.0
2017-04-25,30000.0
2017-04-26,30000.0
2017-04-27,30000.0
2017-04-28,30000.0
2017-05-01,30000.0
2017-05-02,30000.0
2017-05-03,30000.0
2017-05-04,30000.0
2017-05-05,30000.0
2017-05-08,30000.0
2017-05-09,30000.0
2017-05-10,30000.0
2017-05-11,30000.0
2017-05-12,30000.0
2017-05-15,30000.0
2017-05-16,30000.0
2017-05-17,30000.0
2017-05-18,30000.0
2017-05-19,30000.0
2017-05-22,30000.0
2017-05-23,30000.0
2017-05-24,30000.0
2017-05-25,30000.0
2017-05-26,30000.0
2017-05-30,30000.0
2017-05-31,30000.0
2017-06-01,30000.0
2017-06-02,30000.0
2017-06-05,30000.0
2017-06-06,30000.0
2017-06-07,30000.0
2017-06-08,30000.0
2017-06-09,30000.0
2017-06-12,30000.0
2017-06-13,30000.0
2017-06-14,30000.0
2017-06-15,30000.0
2017-06-16,30000.0
2017-06-19,30000.0
2017-06-20,30000.0
2017-06-21,30000.0
2017-06-22,30000.0
2017-06-23,30000.0
2017-06-26,30000.0
2017-06-27,30000.0
2017-06-28,30000.0
2017-06-29,30000.0
2017-06-30,30000.0
2017-07-03,30000.0
2017-07-05,30000.0
2017-07-06,30000.0
2017-07-07,30000.0
2017-07-10,30000.0
2017-07-11,30000.0
2017-07-12,30000.0
2017-07-13,30000.0
2017-07-14,30000.0
2017-07-17,30000.0
2017-07-18,30000.0
2017-07-19,30000.0
2017-07-20,30000.0
2017-07-21,30000.0
2017-07-24,30000.0
2017-07-25,30000.0
2017-07-26,30000.0
2017-07-27,30000.0
2017-07-28,30000.0
2017-07-31,30000.0
2017-08-01,30000.0
2017-08-02,30000.0
2017-08-03,30000.0
2017-08-04,30000.0
2017-08-07,30000.0
2017-08-08,30000.0
2017-08-09,30000.0
2017-08-10,30000.0
2017-08-11,30000.0
2017-08-14,30000.0
2017-08-15,30000.0
2017-08-16,30000.0
2017-08-17,30000.0
2017-08-18,30000.0
2017-08-21,30000.0
2017-08-22,30000.0
2017-08-23,30000.0
2017-08-24,30000.0
2017-08-25,30000.0
2017-08-28,30000.0
2017-08-29,30000.0
2017-08-30,30000.0
2017-08-31,30000.0
2017-09-01,29946.150008170873
2017-09-05,29554.69442745816
2017-09-06,29617.49114978131
2017-09-07,29503.84729786275
2017-09-08,29428.589903191874
2017-09-11,29851.071305506273
2017-09-12,30016.301986430848
2017-09-13,30032.556279370037
2017-09-14,29919.624306048714
2017-09-15,30024.10548842209
2017-09-18,30136.680352836764
2017-09-19,30274.525491201228
2017-09-20,30262.31090005232
2017-09-21,30169.48513056799
2017-09-22,30153.049707434897
2017-09-25,29916.82473794809
2017-09-26,29974.943732035423
2017-09-27,30288.535623948355
2017-09-28,30312.814179509438
2017-09-29,30501.540102465315
2017-10-02,30612.605173780597
2017-10-03,30693.68008717828
2017-10-04,30649.684192679786
2017-10-05,30953.84329607218
2017-10-06,30995.112109852835
2017-10-09,30969.859546618136
2017-10-10,31035.058844519262
2017-10-11,31080.672860397015
2017-10-12,30957.306243964762
2017-10-13,31050.75958804593
2017-10-16,31191.318387939973
2017-10-17,31153.2019544877
2017-10-18,31221.869122613927
2017-10-19,31160.548523142294
2017-10-20,31381.022954296972
2017-10-23,31255.289829584963
2017-10-24,31376.410889299514
2017-10-25,31217.81900874811
2017-10-26,31286.1030594629
2017-10-27,31862.878749903015
2017-10-30,31866.907862463842
2017-10-31,31924.727849127274
2017-11-01,31952.065699955587
2017-11-02,31979.84694986879
2017-11-03,32015.42299313204
2017-11-06,31981.648099149832
2017-11-07,31850.138931731282
2017-11-08,31867.0570263245
2017-11-09,31655.520791486157
2017-11-10,31606.93492333577
2017-11-13,31674.16615484582
2017-11-14,31552.701810487117
2017-11-15,31439.267673351005
2017-11-16,31717.449277529602
2017-11-17,31651.875773036572
2017-11-20,31754.720393782412
2017-11-21,31954.662639070284
2017-11-22,31853.20619487449
2017-11-24,31963.171756288055
2017-11-27,31891.672522594446
2017-11-28,32320.32449398838
2017-11-29,32283.00568070937
2017-11-30,32509.036714416932
2017-12-01,32387.312019094716
2017-12-04,32253.94086105829
2017-12-05,32206.82555077752
2017-12-06,32285.45003997138
2017-12-07,32423.525334343532
2017-12-08,32588.46124649918
2017-12-11,32739.516535812058
2017-12-12,32830.77893300905
2017-12-13,32719.551390317178
2017-12-14,32627.821951659516
2017-12-15,32973.21028703425
2017-12-18,33261.20559772643
2017-12-19,33080.012574016626
2017-12-20,33044.98680880814
2017-12-21,33119.03536519014
2017-12-22,33068.189588005975
2017-12-26,32903.771388623805
2017-12-27,32928.916613532456
2017-12-28,33004.174562002314
2017-12-29,32799.63175238798
2018-01-02,33130.23772077842
2018-01-03,33388.98984332172
2018-01-04,33567.81815614588
2018-01-05,33829.45895696361
2018-01-08,33899.97630907994
2018-01-09,33959.43473947798
2018-01-10,33988.77904128078
2018-01-11,34167.57924818105
2018-01-12,34420.36595232721
2018-01-16,34311.529812546345
2018-01-17,34693.129521956806
2018-01-18,34700.015709817475
2018-01-19,34841.32555956231
2018-01-22,35173.01649787937
2018-01-23,35333.13286542813
2018-01-24,35244.942530308814
2018-01-25,35196.61502753733
2018-01-26,35648.620241199686
2018-01-29,35435.45870147227
2018-01-30,35078.12811605455
2018-01-31,35245.95372821721
2018-02-01,34978.916524504566
2018-02-02,34289.318804487586
2018-02-05,32975.370107451
2018-02-06,33863.5901383197
2018-02-07,33538.33255043865
2018-02-08,32157.669186201674
2018-02-09,32677.23553676898
2018-02-12,33213.97472323992
2018-02-13,33355.93207268215
2018-02-14,33945.699141174926
2018-02-15,34472.53503470687
2018-02-16,34348.491811478976
2018-02-20,34346.65125877318
2018-02-21,34224.44641248693
2018-02-22,34250.940066495685
2018-02-23,34882.9500973287
2018-02-26,35317.027783628524
2018-02-27,34803.33004448861
2018-02-28,34593.93575984178
2018-03-01,34090.4200171963
2018-03-02,34314.26358368603
2018-03-05,34694.19580892961
2018-03-06,34848.331162436014
2018-03-07,34861.08205464553
2018-03-08,35012.430529798185
2018-03-09,35640.81742461398
2018-03-12,35780.149095701985
2018-03-13,35397.26969363137
2018-03-14,35370.5800372106
2018-03-15,35354.763932002235
2018-03-16,35295.242288188005
2018-03-19,34664.448942077914
2018-03-20,34766.368985299574
2018-03-21,34637.36754578237
2018-03-22,33808.845201347525
2018-03-23,32989.86196494835
2018-03-26,34140.82077153419
2018-03-27,33184.65882891915
2018-03-28,32849.20567813843
2018-03-29,33419.99027986657
2018-04-02,32518.389099109834
2018-04-03,32884.96451275668
2018-04-04,33412.05101977383
2018-04-05,33670.69514763059
2018-04-06,32875.706704578166
2018-04-09,33012.08907312246
2018-04-10,33659.58289838414
2018-04-11,33494.485511988176
2018-04-12,33811.54551481296
2018-04-13,33652.79973313698
2018-04-16,33908.79575596932
2018-04-17,34572.39543987073
2018-04-18,34619.87134054165
2018-04-19,34349.82000592407
2018-04-20,33893.35092327799
2018-04-23,33847.9900193615
2018-04-24,33234.05745391353
2018-04-25,33294.85632844439
2018-04-26,33910.061977026126
2018-04-27,33947.74341735549
2018-04-30,33749.05051160623
2018-05-01,34033.77740857025
2018-05-02,33877.32355550723
2018-05-03,33851.13851551849
2018-05-04,34427.8582847429
2018-05-07,34641.596392502324
2018-05-08,34606.546396921694
2018-05-09,34914.22035411287
2018-05-10,35228.88168068552
2018-05-11,35225.70075049424
2018-05-14,35266.50569082047
2018-05-15,34957.03211355064
2018-05-16,35183.29790809952
2018-05-17,35038.496657991665
2018-05-18,34914.70225020243
2018-05-21,35145.7841734127
2018-05-22,35061.402819953946
2018-05-23,35330.608939247
2018-05-24,35339.27488418447
2018-05-25,35360.42930320965
2018-05-29,35153.061767291285
2018-05-30,35429.9313305945
2018-05-31,35369.00317596526
2018-06-01,35762.892088808585
2018-06-04,35863.12082720812
2018-06-05,35913.44280861686
2018-06-06,36118.57893816118
2018-06-07,36106.61863271415
2018-06-08,36063.767184236225
2018-06-11,36172.10062104347
2018-06-12,36202.29841895191
2018-06-13,36094.07829633654
2018-06-14,36284.09225489049
2018-06-15,35935.895870766144
2018-06-18,36061.85312130309
2018-06-19,35938.576692730014
2018-06-20,36101.711603312746
2018-06-21,35681.86268921069
2018-06-22,35854.26381822654
2018-06-25,35096.69440963584
2018-06-26,35339.48082559402
2018-06-27,35176.48810062389
2018-06-28,35405.28719011298
2018-06-29,35505.40544567189
2018-07-02,35658.95464163934
2018-07-03,35320.901277467194
2018-07-05,35692.005013271635
2018-07-06,36109.46486899655
2018-07-09,36453.27615739684
2018-07-10,36517.16352445841
2018-07-11,36379.60248270801
2018-07-12,36860.651365904334
2018-07-13,36884.725551109856
2018-07-16,36857.054755323355
2018-07-17,37035.44052849605
2018-07-18,36984.18411954315
2018-07-19,36850.096854865544
2018-07-20,36796.220529872844
2018-07-23,36884.70842639523
2018-07-24,36966.599673622535
2018-07-25,37383.907610120536
2018-07-26,36938.40399680315
2018-07-27,36529.77054779759
2018-07-30,36070.82985459829
2018-07-31,36251.586784697894
2018-08-01,36346.78998651894
2018-08-02,36747.184185784
