top_n,lookbacks,final_eur,cagr,max_dd,sharpe,sortino,positive_months,n_rebalance_trades,trades_per_year
2,"(63, 126, 252)",76779.0,0.09885996884996939,-0.29535662046642974,0.4752838523722543,0.5606117710947957,0.5666666666666667,160,16.1
2,"(126, 252, 252)",108209.0,0.13734331118765253,-0.29535662046642974,0.6430997009963185,0.7688041287110396,0.6,118,11.8
2,"(21, 63, 126)",65912.0,0.08216361266355432,-0.2972916745027423,0.39917833577523776,0.47312838450713685,0.5833333333333334,226,22.7
3,"(63, 126, 252)",81442.0,0.10537743023257162,-0.3138212606048365,0.5349697397257567,0.6166215997428239,0.575,191,19.2
3,"(126, 252, 252)",101246.0,0.12977962745317928,-0.2956165051276577,0.6560060026184791,0.7618102155648528,0.625,163,16.4
3,"(21, 63, 126)",73689.0,0.09434054855584972,-0.25813609900517775,0.5063435117278364,0.6123367221481001,0.6,280,28.1
4,"(63, 126, 252)",74849.0,0.09605663092822958,-0.31138055899018235,0.5055264943280948,0.5755453752862284,0.5666666666666667,211,21.2
4,"(126, 252, 252)",88876.0,0.11510652664523446,-0.3113805589901826,0.6052450748094539,0.6922843847318562,0.6,201,20.2
4,"(21, 63, 126)",74944.0,0.09619568746395202,-0.21719840705473215,0.5507897342120874,0.6767549062230801,0.5916666666666667,323,32.4
5,"(63, 126, 252)",71537.0,0.0910910270597558,-0.3128532028830753,0.4920370853508044,0.554594023162622,0.5833333333333334,233,23.4
5,"(126, 252, 252)",79005.0,0.10201484555100637,-0.3128532028830753,0.5502153059233448,0.6188302210951142,0.5916666666666667,208,20.9
5,"(21, 63, 126)",79897.0,0.10325665585350685,-0.18950272536935586,0.6307186506022026,0.7767681475826751,0.6166666666666667,363,36.4
