date,ticker,from_w,to_w
2017-09-01,QQQ,0.0,0.3333
2017-09-01,XLF,0.0,0.3333
2017-09-01,XLK,0.0,0.3333
2017-11-01,QQQ,0.3333,0.0
2017-11-01,XLB,0.0,0.3333
2017-12-01,QQQ,0.0,0.3333
2017-12-01,XLB,0.3333,0.0
2018-02-01,XLF,0.3333,0.0
2018-02-01,XLY,0.0,0.3333
2018-06-01,XLE,0.0,0.3333
2018-06-01,XLY,0.3333,0.0
2018-07-02,XLE,0.3333,0.0
2018-07-02,XLY,0.0,0.3333
2018-11-01,QQQ,0.3333,0.0
2018-11-01,XLK,0.3333,0.0
2018-11-01,XLP,0.0,0.3333
2018-11-01,XLV,0.0,0.3333
2018-12-03,XLU,0.0,0.3333
2018-12-03,XLY,0.3333,0.0
2019-01-02,IEF,0.0,0.6667
2019-01-02,XLP,0.3333,0.0
2019-01-02,XLV,0.3333,0.0
2019-02-01,IEF,0.6667,0.0
2019-02-01,XLRE,0.0,0.3333
2019-02-01,XLV,0.0,0.3333
2019-04-01,XLK,0.0,0.3333
2019-04-01,XLV,0.3333,0.0
2019-05-01,QQQ,0.0,0.3333
2019-05-01,XLRE,0.3333,0.0
2019-05-01,XLU,0.3333,0.0
2019-05-01,XLY,0.0,0.3333
2019-06-03,QQQ,0.3333,0.0
2019-06-03,XLK,0.3333,0.0
2019-06-03,XLP,0.0,0.3333
2019-06-03,XLRE,0.0,0.3333
2019-06-03,XLU,0.0,0.3333
2019-06-03,XLY,0.3333,0.0
2019-07-01,XLK,0.0,0.3333
2019-07-01,XLP,0.3333,0.0
2019-07-01,XLU,0.3333,0.0
2019-07-01,XLY,0.0,0.3333
2019-08-01,XLP,0.0,0.3333
2019-08-01,XLY,0.3333,0.0
2019-09-03,XLK,0.3333,0.0
2019-09-03,XLU,0.0,0.3333
2019-11-01,XLK,0.0,0.3333
2019-11-01,XLP,0.3333,0.0
2019-12-02,QQQ,0.0,0.3333
2019-12-02,XLF,0.0,0.3333
2019-12-02,XLRE,0.3333,0.0
2019-12-02,XLU,0.3333,0.0
2020-02-03,XLF,0.3333,0.0
2020-02-03,XLU,0.0,0.3333
2020-04-01,IEF,0.0,1.0
2020-04-01,QQQ,0.3333,0.0
2020-04-01,XLK,0.3333,0.0
2020-04-01,XLU,0.3333,0.0
2020-05-01,IEF,1.0,0.0
2020-05-01,QQQ,0.0,0.3333
2020-05-01,XLK,0.0,0.3333
2020-05-01,XLV,0.0,0.3333
2020-07-01,XLV,0.3333,0.0
2020-07-01,XLY,0.0,0.3333
2020-12-01,XLB,0.0,0.3333
2020-12-01,XLY,0.3333,0.0
2021-02-01,XLB,0.3333,0.0
2021-02-01,XLY,0.0,0.3333
2021-03-01,XLE,0.0,0.3333
2021-03-01,XLF,0.0,0.3333
2021-03-01,XLK,0.3333,0.0
2021-03-01,XLY,0.3333,0.0
2021-04-01,QQQ,0.3333,0.0
2021-04-01,XLB,0.0,0.3333
2021-05-03,XLB,0.3333,0.0
2021-05-03,XLI,0.0,0.3333
2021-06-01,XLB,0.0,0.3333
2021-06-01,XLE,0.3333,0.0
2021-07-01,XLB,0.3333,0.0
2021-07-01,XLC,0.0,0.3333
2021-07-01,XLE,0.0,0.3333
2021-07-01,XLI,0.3333,0.0
2021-08-02,XLE,0.3333,0.0
2021-08-02,XLK,0.0,0.3333
2021-09-01,XLC,0.3333,0.0
2021-09-01,XLRE,0.0,0.3333
2021-10-01,XLE,0.0,0.3333
2021-10-01,XLK,0.3333,0.0
2021-11-01,XLK,0.0,0.3333
2021-11-01,XLRE,0.3333,0.0
2021-12-01,XLF,0.3333,0.0
2021-12-01,XLY,0.0,0.3333
2022-01-03,XLRE,0.0,0.3333
2022-01-03,XLY,0.3333,0.0
2022-02-01,XLF,0.0,0.3333
2022-02-01,XLK,0.3333,0.0
2022-02-01,XLP,0.0,0.3333
2022-02-01,XLRE,0.3333,0.0
2022-03-01,XLF,0.3333,0.0
2022-03-01,XLU,0.0,0.3333
2022-04-01,XLP,0.3333,0.0
2022-04-01,XLRE,0.0,0.3333
2022-05-02,XLP,0.0,0.3333
2022-05-02,XLRE,0.3333,0.0
2022-06-01,XLP,0.3333,0.0
2022-06-01,XLV,0.0,0.3333
2022-07-01,XLV,0.3333,0.0
2022-08-01,XLV,0.0,0.3333
2022-09-01,XLP,0.0,0.3333
2022-09-01,XLV,0.3333,0.0
2022-10-03,XLP,0.3333,0.0
2022-10-03,XLU,0.3333,0.0
2022-11-01,XLV,0.0,0.3333
2022-12-01,XLP,0.0,0.3333
2023-01-03,XLI,0.0,0.3333
2023-01-03,XLP,0.3333,0.0
2023-02-01,XLB,0.0,0.3333
2023-02-01,XLV,0.3333,0.0
2023-04-03,QQQ,0.0,0.3333
2023-04-03,XLB,0.3333,0.0
2023-04-03,XLC,0.0,0.3333
2023-04-03,XLE,0.3333,0.0
2023-04-03,XLI,0.3333,0.0
2023-04-03,XLK,0.0,0.3333
2023-07-03,XLC,0.3333,0.0
2023-07-03,XLY,0.0,0.3333
2023-08-01,XLC,0.0,0.3333
2023-08-01,XLY,0.3333,0.0
2023-10-02,XLE,0.0,0.3333
2023-10-02,XLK,0.3333,0.0
2023-11-01,XLE,0.3333,0.0
2023-11-01,XLK,0.0,0.3333
2024-05-01,XLC,0.3333,0.0
2024-05-01,XLF,0.0,0.3333
2024-05-01,XLI,0.0,0.3333
2024-05-01,XLK,0.3333,0.0
2024-06-03,QQQ,0.3333,0.0
2024-06-03,XLC,0.0,0.3333
2024-06-03,XLI,0.3333,0.0
2024-06-03,XLU,0.0,0.3333
2024-07-01,QQQ,0.0,0.3333
2024-07-01,XLF,0.3333,0.0
2024-07-01,XLK,0.0,0.3333
2024-07-01,XLU,0.3333,0.0
2024-08-01,XLF,0.0,0.3333
2024-08-01,XLK,0.3333,0.0
2024-09-03,QQQ,0.3333,0.0
2024-09-03,XLC,0.3333,0.0
2024-09-03,XLRE,0.0,0.3333
2024-09-03,XLU,0.0,0.3333
2024-11-01,XLC,0.0,0.3333
2024-11-01,XLRE,0.3333,0.0
2024-12-02,XLU,0.3333,0.0
2024-12-02,XLY,0.0,0.3333
2025-03-03,XLU,0.0,0.3333
2025-03-03,XLY,0.3333,0.0
2025-04-01,XLC,0.3333,0.0
2025-04-01,XLE,0.0,0.3333
2025-05-01,XLC,0.0,0.3333
